"","Policy.Number","Age","Age.Band","Avg.Age","Years.of.Driving.Experience","Number.of.Vehicles","Gender","Gender.Dummy","Married","Married.Dummy","Vehicle.Age","Vehicle.Age.Band","Avg.Vehicle.Age","Fuel.Type","Fuel.Type.Dummy","Losses","Count","Capped.Losses","logloss"
"7350",132619,29,"26-59",42.4,12,2,"F",0,"Married",0,8,"6-10",8.02,"P",0,308,1,308,5.73009978297357
"10866",125564,24,"16-25",20.6,6,3,"F",0,"Married",0,1,"0-5",2.5,"D",1,595,1,595,6.38856140554563
"15182",170404,24,"16-25",20.6,6,4,"M",1,"Single",1,13,"11+",12.97,"D",1,577,1,577,6.3578422665081
"12855",106944,68,"60+",65.1,51,4,"M",1,"Married",0,4,"0-5",2.5,"P",0,46,1,46,3.8286413964891
"12244",134902,36,"26-59",42.4,15,3,"F",0,"Married",0,6,"6-10",8.02,"P",0,374,1,374,5.92425579741453
"4759",184497,68,"60+",65.1,50,2,"M",1,"Single",1,9,"6-10",8.02,"P",0,43,1,43,3.76120011569356
"10463",119956,61,"60+",65.1,44,3,"M",1,"Single",1,4,"0-5",2.5,"P",0,370,1,370,5.91350300563827
"3464",134680,67,"60+",65.1,46,2,"M",1,"Single",1,4,"0-5",2.5,"P",0,102,1,102,4.62497281328427
"6720",169726,23,"16-25",20.6,6,2,"M",1,"Married",0,8,"6-10",8.02,"D",1,639,1,639,6.45990445437753
"14657",154649,16,"16-25",20.6,0,4,"F",0,"Single",1,15,"11+",12.97,"D",1,669,1,669,6.50578406012823
"860",109043,25,"16-25",20.6,8,1,"M",1,"Single",1,15,"11+",12.97,"P",0,441,1,441,6.08904487544685
"3395",170899,54,"26-59",42.4,36,2,"M",1,"Married",0,15,"11+",12.97,"P",0,176,1,176,5.17048399503815
"5212",153370,65,"60+",65.1,45,2,"F",0,"Single",1,10,"6-10",8.02,"P",0,319,1,319,5.76519110278484
"3812",157860,39,"26-59",42.4,19,2,"F",0,"Single",1,10,"6-10",8.02,"P",0,413,1,413,6.02344759296103
"1265",127510,23,"16-25",20.6,5,1,"F",0,"Married",0,14,"11+",12.97,"P",0,211,1,211,5.35185813347607
"11835",119367,24,"16-25",20.6,6,3,"M",1,"Married",0,14,"11+",12.97,"P",0,196,1,196,5.27811465923052
"4894",139359,30,"26-59",42.4,10,2,"F",0,"Single",1,0,"0-5",2.5,"D",1,702,1,702,6.55393340402581
"7333",171246,31,"26-59",42.4,13,2,"F",0,"Single",1,11,"11+",12.97,"P",0,409,1,409,6.0137151560428
"2219",130215,43,"26-59",42.4,25,1,"F",0,"Married",0,6,"6-10",8.02,"P",0,310,1,310,5.73657229747919
"8954",124577,21,"16-25",20.6,3,3,"M",1,"Single",1,12,"11+",12.97,"D",1,538,1,538,6.28785856016178
"9040",102838,55,"26-59",42.4,36,3,"F",0,"Single",1,10,"6-10",8.02,"P",0,449,1,449,6.10702288774225
"14995",159180,19,"16-25",20.6,0,4,"F",0,"Married",0,13,"11+",12.97,"P",0,256,1,256,5.54517744447956
"7686",145447,49,"26-59",42.4,29,3,"F",0,"Single",1,13,"11+",12.97,"P",0,310,1,310,5.73657229747919
"13570",169304,46,"26-59",42.4,25,4,"M",1,"Married",0,14,"11+",12.97,"P",0,209,1,209,5.34233425196481
"5727",183169,20,"16-25",20.6,1,2,"M",1,"Single",1,7,"6-10",8.02,"D",1,1143,1,1143,7.04141166379481
"11552",104955,24,"16-25",20.6,5,3,"F",0,"Married",0,11,"11+",12.97,"P",0,164,1,164,5.0998664278242
"4417",114053,61,"60+",65.1,41,2,"F",0,"Single",1,6,"6-10",8.02,"P",0,178,1,178,5.18178355029209
"11153",145513,24,"16-25",20.6,7,3,"F",0,"Single",1,13,"11+",12.97,"P",0,327,1,327,5.78996017089725
"8785",166022,54,"26-59",42.4,33,3,"M",1,"Married",0,6,"6-10",8.02,"P",0,398,1,398,5.98645200528444
"530",149333,32,"26-59",42.4,15,1,"F",0,"Single",1,10,"6-10",8.02,"P",0,402,1,402,5.99645208861902
"1441",158387,24,"16-25",20.6,6,1,"F",0,"Married",0,8,"6-10",8.02,"P",0,371,1,371,5.91620206260743
"663",145985,68,"60+",65.1,49,1,"F",0,"Married",0,7,"6-10",8.02,"P",0,33,1,33,3.49650756146648
"7190",139639,66,"60+",65.1,47,2,"M",1,"Married",0,4,"0-5",2.5,"P",0,276,1,276,5.62040086571715
"12987",172286,70,"60+",65.1,52,4,"F",0,"Married",0,7,"6-10",8.02,"P",0,137,1,137,4.91998092582813
"3051",192865,41,"26-59",42.4,22,2,"F",0,"Single",1,10,"6-10",8.02,"P",0,346,1,346,5.84643877505772
"480",175991,65,"60+",65.1,48,1,"M",1,"Married",0,7,"6-10",8.02,"P",0,239,1,239,5.47646355193151
"6920",115111,63,"60+",65.1,45,2,"M",1,"Married",0,7,"6-10",8.02,"P",0,306,1,306,5.72358510195238
"9983",121347,66,"60+",65.1,49,3,"M",1,"Married",0,12,"11+",12.97,"P",0,80,1,80,4.38202663467388
"5353",163464,70,"60+",65.1,49,2,"M",1,"Single",1,6,"6-10",8.02,"P",0,364,1,364,5.89715386763674
"4489",167022,16,"16-25",20.6,0,2,"M",1,"Married",0,8,"6-10",8.02,"P",0,397,1,397,5.98393628068719
"13029",161542,66,"60+",65.1,46,4,"F",0,"Single",1,10,"6-10",8.02,"P",0,48,1,48,3.87120101090789
"12029",110581,24,"16-25",20.6,6,3,"M",1,"Single",1,15,"11+",12.97,"D",1,625,1,625,6.4377516497364
"3599",131655,42,"26-59",42.4,21,2,"F",0,"Married",0,3,"0-5",2.5,"P",0,368,1,368,5.90808293816893
"10178",139973,63,"60+",65.1,46,3,"F",0,"Single",1,9,"6-10",8.02,"P",0,267,1,267,5.58724865840025
"6484",141074,30,"26-59",42.4,10,2,"F",0,"Married",0,5,"0-5",2.5,"D",1,550,1,550,6.30991827822652
"1816",119004,35,"26-59",42.4,14,1,"F",0,"Single",1,8,"6-10",8.02,"P",0,440,1,440,6.08677472691231
"8902",165703,26,"26-59",42.4,7,3,"M",1,"Married",0,10,"6-10",8.02,"P",0,407,1,407,6.00881318544259
"14544",116916,69,"60+",65.1,49,4,"F",0,"Married",0,7,"6-10",8.02,"P",0,108,1,108,4.68213122712422
"7323",165660,22,"16-25",20.6,4,2,"F",0,"Single",1,6,"6-10",8.02,"D",1,561,1,561,6.3297209055227
"11249",194260,67,"60+",65.1,48,3,"F",0,"Married",0,14,"11+",12.97,"P",0,137,1,137,4.91998092582813
"13957",124294,70,"60+",65.1,53,4,"F",0,"Single",1,4,"0-5",2.5,"P",0,337,1,337,5.82008293035236
"8857",187338,39,"26-59",42.4,22,3,"M",1,"Married",0,7,"6-10",8.02,"P",0,377,1,377,5.93224518744801
"9794",123636,29,"26-59",42.4,12,3,"F",0,"Married",0,8,"6-10",8.02,"P",0,310,1,310,5.73657229747919
"14893",132002,21,"16-25",20.6,3,4,"M",1,"Married",0,10,"6-10",8.02,"D",1,641,1,641,6.46302945692067
"9606",193900,68,"60+",65.1,47,3,"F",0,"Single",1,6,"6-10",8.02,"P",0,145,1,145,4.97673374242057
"9691",140837,63,"60+",65.1,45,3,"F",0,"Married",0,5,"0-5",2.5,"P",0,294,1,294,5.68357976733868
"11923",189637,49,"26-59",42.4,32,3,"M",1,"Married",0,9,"6-10",8.02,"P",0,376,1,376,5.92958914338989
"11702",127607,67,"60+",65.1,48,3,"M",1,"Married",0,6,"6-10",8.02,"P",0,324,1,324,5.78074351579233
"14811",197630,50,"26-59",42.4,33,4,"F",0,"Single",1,13,"11+",12.97,"P",0,252,1,252,5.52942908751142
"2773",147093,17,"16-25",20.6,0,2,"M",1,"Single",1,12,"11+",12.97,"D",1,722,1,722,6.58202513889283
"13619",108960,21,"16-25",20.6,2,4,"F",0,"Single",1,13,"11+",12.97,"D",1,504,1,504,6.22257626807137
"2560",197494,20,"16-25",20.6,1,2,"F",0,"Married",0,13,"11+",12.97,"P",0,311,1,311,5.73979291217923
"13789",188340,52,"26-59",42.4,32,4,"M",1,"Married",0,13,"11+",12.97,"P",0,328,1,328,5.79301360838414
"7105",147554,20,"16-25",20.6,1,2,"M",1,"Single",1,14,"11+",12.97,"P",0,414,1,414,6.02586597382531
"9173",159549,35,"26-59",42.4,17,3,"F",0,"Single",1,1,"0-5",2.5,"D",1,648,1,648,6.47389069635227
"11840",183668,21,"16-25",20.6,4,3,"F",0,"Single",1,15,"11+",12.97,"D",1,798,1,798,6.68210859744981
"5970",150879,49,"26-59",42.4,28,2,"F",0,"Married",0,9,"6-10",8.02,"P",0,330,1,330,5.79909265446053
"9453",145036,69,"60+",65.1,48,3,"F",0,"Single",1,4,"0-5",2.5,"P",0,196,1,196,5.27811465923052
"5607",169287,34,"26-59",42.4,15,2,"M",1,"Married",0,13,"11+",12.97,"P",0,315,1,315,5.75257263882563
"9449",178671,57,"26-59",42.4,39,3,"M",1,"Single",1,9,"6-10",8.02,"D",1,517,1,517,6.24804287450843
"7219",100094,65,"60+",65.1,48,2,"M",1,"Married",0,6,"6-10",8.02,"P",0,108,1,108,4.68213122712422
"12079",166431,25,"16-25",20.6,6,3,"F",0,"Single",1,14,"11+",12.97,"P",0,462,1,462,6.13556489108174
"2866",186085,69,"60+",65.1,49,2,"F",0,"Married",0,4,"0-5",2.5,"P",0,189,1,189,5.24174701505964
"3903",168528,40,"26-59",42.4,21,2,"M",1,"Married",0,15,"11+",12.97,"P",0,210,1,210,5.34710753071747
"7253",126078,26,"26-59",42.4,7,2,"M",1,"Single",1,8,"6-10",8.02,"P",0,464,1,464,6.13988455222626
"2752",104057,24,"16-25",20.6,5,2,"M",1,"Married",0,14,"11+",12.97,"P",0,322,1,322,5.77455154554441
"1838",162666,16,"16-25",20.6,0,1,"F",0,"Married",0,7,"6-10",8.02,"P",0,426,1,426,6.05443934626937
"9054",113983,19,"16-25",20.6,0,3,"F",0,"Married",0,8,"6-10",8.02,"P",0,443,1,443,6.09356977004514
"12239",176379,16,"16-25",20.6,0,3,"F",0,"Married",0,13,"11+",12.97,"P",0,159,1,159,5.06890420222023
"13600",153316,32,"26-59",42.4,14,4,"F",0,"Married",0,7,"6-10",8.02,"P",0,301,1,301,5.70711026474888
"8644",136489,43,"26-59",42.4,22,3,"M",1,"Married",0,5,"0-5",2.5,"P",0,411,1,411,6.01859321449623
"14920",182777,67,"60+",65.1,46,4,"M",1,"Single",1,8,"6-10",8.02,"P",0,314,1,314,5.74939298590825
"5517",191048,17,"16-25",20.6,0,2,"M",1,"Married",0,10,"6-10",8.02,"D",1,791,1,791,6.67329796776765
"8424",124607,21,"16-25",20.6,3,3,"F",0,"Single",1,12,"11+",12.97,"P",0,201,1,201,5.30330490805908
"14914",126915,47,"26-59",42.4,27,4,"M",1,"Single",1,15,"11+",12.97,"P",0,419,1,419,6.03787091992214
"587",115299,62,"60+",65.1,44,1,"M",1,"Married",0,14,"11+",12.97,"P",0,32,1,32,3.46573590279973
"12089",163200,29,"26-59",42.4,12,3,"M",1,"Married",0,2,"0-5",2.5,"D",1,789,1,789,6.67076632084587
"9168",147831,20,"16-25",20.6,1,3,"F",0,"Single",1,2,"0-5",2.5,"D",1,676,1,676,6.51619307604296
"12601",104521,24,"16-25",20.6,7,3,"F",0,"Married",0,15,"11+",12.97,"P",0,283,1,283,5.64544689764324
"14870",192227,70,"60+",65.1,49,4,"F",0,"Married",0,7,"6-10",8.02,"P",0,319,1,319,5.76519110278484
"1566",134300,51,"26-59",42.4,32,1,"F",0,"Single",1,9,"6-10",8.02,"P",0,397,1,397,5.98393628068719
"2795",146939,34,"26-59",42.4,13,2,"M",1,"Married",0,9,"6-10",8.02,"P",0,341,1,341,5.83188247728352
"8308",115472,28,"26-59",42.4,7,3,"M",1,"Married",0,12,"11+",12.97,"P",0,140,1,140,4.9416424226093
"2893",128804,34,"26-59",42.4,14,2,"F",0,"Single",1,8,"6-10",8.02,"P",0,370,1,370,5.91350300563827
"14232",110958,70,"60+",65.1,49,4,"F",0,"Single",1,15,"11+",12.97,"P",0,101,1,101,4.61512051684126
"3962",116019,39,"26-59",42.4,18,2,"M",1,"Married",0,2,"0-5",2.5,"P",0,460,1,460,6.13122648948314
"2943",126995,60,"60+",65.1,40,2,"M",1,"Single",1,9,"6-10",8.02,"P",0,260,1,260,5.56068163101553
"7785",144536,62,"60+",65.1,45,3,"M",1,"Single",1,10,"6-10",8.02,"P",0,120,1,120,4.78749174278205
"10421",185829,53,"26-59",42.4,33,3,"F",0,"Single",1,0,"0-5",2.5,"D",1,534,1,534,6.2803958389602
"3879",108688,67,"60+",65.1,50,2,"F",0,"Single",1,10,"6-10",8.02,"P",0,301,1,301,5.70711026474888
"10426",102206,19,"16-25",20.6,1,3,"F",0,"Single",1,13,"11+",12.97,"P",0,249,1,249,5.51745289646471
"8335",156780,23,"16-25",20.6,4,3,"F",0,"Married",0,11,"11+",12.97,"P",0,261,1,261,5.56452040732269
"7619",191447,54,"26-59",42.4,34,2,"F",0,"Married",0,10,"6-10",8.02,"P",0,348,1,348,5.85220247977447
"9",119842,69,"60+",65.1,48,1,"M",1,"Single",1,5,"0-5",2.5,"P",0,70,1,70,4.24849524204936
"11208",195891,23,"16-25",20.6,5,3,"F",0,"Single",1,11,"11+",12.97,"P",0,269,1,269,5.59471137960184
"10058",145876,65,"60+",65.1,48,3,"M",1,"Single",1,12,"11+",12.97,"P",0,28,1,28,3.3322045101752
"1848",140147,17,"16-25",20.6,0,1,"F",0,"Single",1,12,"11+",12.97,"D",1,511,1,511,6.2363695902037
"5168",151043,22,"16-25",20.6,3,2,"M",1,"Single",1,14,"11+",12.97,"D",1,629,1,629,6.44413125670044
"3524",162004,64,"60+",65.1,43,2,"M",1,"Single",1,7,"6-10",8.02,"P",0,92,1,92,4.52178857704904
"1214",155758,70,"60+",65.1,52,1,"M",1,"Married",0,3,"0-5",2.5,"P",0,117,1,117,4.76217393479776
"8172",147453,60,"60+",65.1,39,3,"M",1,"Married",0,12,"11+",12.97,"P",0,172,1,172,5.14749447681345
"11775",102026,65,"60+",65.1,44,3,"F",0,"Married",0,4,"0-5",2.5,"P",0,454,1,454,6.11809719804135
"1783",130871,67,"60+",65.1,49,1,"M",1,"Single",1,13,"11+",12.97,"P",0,161,1,161,5.08140436498446
"12031",162974,63,"60+",65.1,45,3,"M",1,"Married",0,11,"11+",12.97,"P",0,64,1,64,4.15888308335967
"4634",122176,16,"16-25",20.6,0,2,"M",1,"Single",1,9,"6-10",8.02,"D",1,782,1,782,6.66185474054531
"2146",197995,65,"60+",65.1,48,1,"F",0,"Married",0,13,"11+",12.97,"P",0,175,1,175,5.16478597392351
"6495",175353,40,"26-59",42.4,21,2,"M",1,"Married",0,10,"6-10",8.02,"P",0,432,1,432,6.06842558824411
"750",118206,67,"60+",65.1,48,1,"F",0,"Single",1,4,"0-5",2.5,"P",0,137,1,137,4.91998092582813
"6624",140674,65,"60+",65.1,48,2,"F",0,"Single",1,10,"6-10",8.02,"P",0,217,1,217,5.37989735354046
"5244",165820,68,"60+",65.1,49,2,"F",0,"Single",1,13,"11+",12.97,"P",0,111,1,111,4.70953020131233
"13523",171123,66,"60+",65.1,47,4,"F",0,"Married",0,4,"0-5",2.5,"P",0,418,1,418,6.03548143252476
"1427",149842,17,"16-25",20.6,0,1,"M",1,"Married",0,11,"11+",12.97,"P",0,275,1,275,5.61677109766657
"7875",115949,61,"60+",65.1,42,3,"F",0,"Married",0,3,"0-5",2.5,"P",0,125,1,125,4.8283137373023
"7693",126520,42,"26-59",42.4,25,3,"M",1,"Single",1,12,"11+",12.97,"P",0,377,1,377,5.93224518744801
"2273",169280,69,"60+",65.1,49,1,"M",1,"Single",1,9,"6-10",8.02,"P",0,47,1,47,3.85014760171006
"3596",155521,49,"26-59",42.4,31,2,"M",1,"Married",0,10,"6-10",8.02,"P",0,445,1,445,6.09807428216624
"9729",190534,68,"60+",65.1,49,3,"F",0,"Single",1,13,"11+",12.97,"P",0,157,1,157,5.05624580534831
"3637",183812,18,"16-25",20.6,0,2,"M",1,"Married",0,7,"6-10",8.02,"P",0,484,1,484,6.18208490671663
"12717",174087,51,"26-59",42.4,34,3,"M",1,"Married",0,9,"6-10",8.02,"P",0,383,1,383,5.94803498918065
"14550",174607,47,"26-59",42.4,30,4,"M",1,"Married",0,6,"6-10",8.02,"P",0,337,1,337,5.82008293035236
"9302",119896,32,"26-59",42.4,12,3,"M",1,"Married",0,9,"6-10",8.02,"P",0,366,1,366,5.90263333340137
"13775",150561,44,"26-59",42.4,24,4,"F",0,"Single",1,6,"6-10",8.02,"P",0,407,1,407,6.00881318544259
"1241",177381,70,"60+",65.1,50,1,"F",0,"Married",0,12,"11+",12.97,"P",0,85,1,85,4.44265125649032
"5069",103673,63,"60+",65.1,44,2,"F",0,"Married",0,15,"11+",12.97,"P",0,245,1,245,5.50125821054473
"7880",173976,70,"60+",65.1,53,3,"F",0,"Married",0,8,"6-10",8.02,"P",0,127,1,127,4.84418708645859
"7561",188418,32,"26-59",42.4,11,2,"F",0,"Married",0,9,"6-10",8.02,"P",0,328,1,328,5.79301360838414
"516",144855,69,"60+",65.1,48,1,"M",1,"Single",1,7,"6-10",8.02,"P",0,236,1,236,5.46383180502561
"5067",173269,37,"26-59",42.4,20,2,"M",1,"Single",1,3,"0-5",2.5,"P",0,482,1,482,6.1779441140506
"4607",134822,16,"16-25",20.6,0,2,"F",0,"Single",1,14,"11+",12.97,"P",0,359,1,359,5.88332238848828
"8176",193305,64,"60+",65.1,43,3,"M",1,"Single",1,3,"0-5",2.5,"D",1,517,1,517,6.24804287450843
"8045",167697,25,"16-25",20.6,8,3,"M",1,"Married",0,5,"0-5",2.5,"D",1,1054,1,1054,6.96034772910131
"12480",181223,70,"60+",65.1,50,3,"F",0,"Single",1,9,"6-10",8.02,"P",0,234,1,234,5.4553211153577
"6339",122049,24,"16-25",20.6,5,2,"M",1,"Single",1,12,"11+",12.97,"P",0,426,1,426,6.05443934626937
"2545",172529,67,"60+",65.1,47,2,"F",0,"Single",1,14,"11+",12.97,"P",0,16,1,16,2.77258872223978
"8942",181772,25,"16-25",20.6,8,3,"M",1,"Married",0,11,"11+",12.97,"P",0,278,1,278,5.62762111369064
"2798",135988,42,"26-59",42.4,21,2,"F",0,"Single",1,6,"6-10",8.02,"P",0,421,1,421,6.04263283368238
"12814",104527,66,"60+",65.1,49,4,"M",1,"Single",1,5,"0-5",2.5,"P",0,442,1,442,6.0913098820777
"3728",129905,51,"26-59",42.4,31,2,"F",0,"Married",0,0,"0-5",2.5,"D",1,536,1,536,6.2841341610708
"13107",164615,16,"16-25",20.6,0,4,"M",1,"Married",0,12,"11+",12.97,"P",0,344,1,344,5.8406416573734
"12028",128564,47,"26-59",42.4,30,3,"M",1,"Married",0,9,"6-10",8.02,"P",0,424,1,424,6.04973345523196
"13010",152651,48,"26-59",42.4,30,4,"F",0,"Single",1,8,"6-10",8.02,"P",0,387,1,387,5.95842469302978
"9363",146747,19,"16-25",20.6,1,3,"F",0,"Married",0,7,"6-10",8.02,"P",0,358,1,358,5.8805329864007
"5563",115716,42,"26-59",42.4,22,2,"M",1,"Single",1,5,"0-5",2.5,"D",1,841,1,841,6.73459165997295
"8613",175073,24,"16-25",20.6,7,3,"F",0,"Married",0,8,"6-10",8.02,"P",0,228,1,228,5.42934562895444
"7559",188093,66,"60+",65.1,47,2,"M",1,"Married",0,12,"11+",12.97,"P",0,250,1,250,5.52146091786225
"8488",188645,43,"26-59",42.4,23,3,"F",0,"Single",1,9,"6-10",8.02,"P",0,361,1,361,5.88887795833288
"14975",122242,23,"16-25",20.6,4,4,"M",1,"Married",0,14,"11+",12.97,"P",0,311,1,311,5.73979291217923
"14062",162563,69,"60+",65.1,50,4,"F",0,"Single",1,15,"11+",12.97,"P",0,50,1,50,3.91202300542815
"2111",144754,24,"16-25",20.6,6,1,"M",1,"Married",0,11,"11+",12.97,"P",0,188,1,188,5.23644196282995
"1826",164050,40,"26-59",42.4,23,1,"M",1,"Married",0,4,"0-5",2.5,"D",1,703,1,703,6.55535689181067
"11564",131109,38,"26-59",42.4,20,3,"M",1,"Single",1,7,"6-10",8.02,"P",0,447,1,447,6.10255859461357
"7970",122312,21,"16-25",20.6,4,3,"M",1,"Married",0,13,"11+",12.97,"P",0,452,1,452,6.11368217983223
"4081",129345,27,"26-59",42.4,10,2,"M",1,"Single",1,6,"6-10",8.02,"P",0,486,1,486,6.18620862390049
"17",140529,65,"60+",65.1,48,1,"M",1,"Single",1,11,"11+",12.97,"P",0,307,1,307,5.7268477475872
"14004",132731,27,"26-59",42.4,7,4,"M",1,"Single",1,13,"11+",12.97,"P",0,323,1,323,5.77765232322266
"9210",100217,23,"16-25",20.6,5,3,"M",1,"Single",1,6,"6-10",8.02,"D",1,898,1,898,6.8001700683022
"1737",168057,64,"60+",65.1,43,1,"F",0,"Single",1,8,"6-10",8.02,"P",0,320,1,320,5.76832099579377
"10492",122573,66,"60+",65.1,49,3,"M",1,"Single",1,8,"6-10",8.02,"P",0,218,1,218,5.38449506278909
"12046",174849,35,"26-59",42.4,18,3,"M",1,"Married",0,3,"0-5",2.5,"D",1,617,1,617,6.42486902390539
"11669",162843,61,"60+",65.1,42,3,"M",1,"Married",0,8,"6-10",8.02,"P",0,327,1,327,5.78996017089725
"15227",150922,61,"60+",65.1,44,4,"F",0,"Married",0,11,"11+",12.97,"P",0,125,1,125,4.8283137373023
"10997",140861,64,"60+",65.1,45,3,"M",1,"Single",1,9,"6-10",8.02,"P",0,391,1,391,5.96870755998537
"2030",182418,24,"16-25",20.6,7,1,"M",1,"Single",1,14,"11+",12.97,"D",1,888,1,888,6.78897174299217
"1494",139651,17,"16-25",20.6,0,1,"M",1,"Married",0,12,"11+",12.97,"D",1,564,1,564,6.33505425149806
"841",145012,69,"60+",65.1,51,1,"M",1,"Single",1,12,"11+",12.97,"P",0,161,1,161,5.08140436498446
"3886",108359,68,"60+",65.1,50,2,"M",1,"Single",1,0,"0-5",2.5,"P",0,383,1,383,5.94803498918065
"8124",117823,23,"16-25",20.6,6,3,"M",1,"Single",1,7,"6-10",8.02,"D",1,1154,1,1154,7.05098944706805
"5995",109979,64,"60+",65.1,46,2,"F",0,"Married",0,14,"11+",12.97,"P",0,152,1,152,5.02388052084628
"6460",187079,61,"60+",65.1,43,2,"M",1,"Married",0,11,"11+",12.97,"P",0,38,1,38,3.63758615972639
"3675",149621,64,"60+",65.1,43,2,"F",0,"Single",1,7,"6-10",8.02,"P",0,226,1,226,5.42053499927229
"7534",155201,25,"16-25",20.6,6,2,"F",0,"Single",1,0,"0-5",2.5,"D",1,773,1,773,6.65027904858742
"11584",134970,42,"26-59",42.4,22,3,"M",1,"Single",1,6,"6-10",8.02,"P",0,427,1,427,6.05678401322862
"1612",158298,31,"26-59",42.4,14,1,"F",0,"Single",1,8,"6-10",8.02,"P",0,420,1,420,6.04025471127741
"7688",128255,30,"26-59",42.4,12,3,"F",0,"Single",1,9,"6-10",8.02,"P",0,478,1,478,6.16961073249146
"14389",182468,26,"26-59",42.4,9,4,"F",0,"Married",0,1,"0-5",2.5,"D",1,566,1,566,6.33859407820318
"4390",153214,60,"60+",65.1,43,2,"M",1,"Single",1,8,"6-10",8.02,"P",0,59,1,59,4.07753744390572
"1736",131621,30,"26-59",42.4,9,1,"M",1,"Single",1,8,"6-10",8.02,"P",0,440,1,440,6.08677472691231
"3922",149757,64,"60+",65.1,46,2,"M",1,"Single",1,10,"6-10",8.02,"P",0,120,1,120,4.78749174278205
"14837",163717,19,"16-25",20.6,0,4,"F",0,"Single",1,13,"11+",12.97,"P",0,284,1,284,5.64897423816121
"14516",173615,51,"26-59",42.4,30,4,"F",0,"Single",1,8,"6-10",8.02,"P",0,339,1,339,5.82600010738045
"12625",113208,18,"16-25",20.6,0,3,"F",0,"Single",1,13,"11+",12.97,"P",0,358,1,358,5.8805329864007
"7509",122916,20,"16-25",20.6,3,2,"F",0,"Single",1,10,"6-10",8.02,"D",1,524,1,524,6.26149168432104
"7776",167819,21,"16-25",20.6,2,3,"F",0,"Married",0,14,"11+",12.97,"P",0,151,1,151,5.01727983681492
"7616",148979,58,"26-59",42.4,37,2,"M",1,"Single",1,0,"0-5",2.5,"D",1,611,1,611,6.4150969591716
"5017",172118,29,"26-59",42.4,8,2,"F",0,"Married",0,15,"11+",12.97,"P",0,228,1,228,5.42934562895444
"1413",145997,60,"60+",65.1,41,1,"M",1,"Married",0,15,"11+",12.97,"P",0,103,1,103,4.63472898822964
"13302",131645,70,"60+",65.1,52,4,"M",1,"Single",1,9,"6-10",8.02,"P",0,226,1,226,5.42053499927229
"2907",153318,70,"60+",65.1,51,2,"F",0,"Single",1,10,"6-10",8.02,"P",0,288,1,288,5.66296048013595
"1385",171806,35,"26-59",42.4,16,1,"F",0,"Married",0,15,"11+",12.97,"P",0,142,1,142,4.95582705760126
"3928",190567,17,"16-25",20.6,0,2,"M",1,"Married",0,2,"0-5",2.5,"D",1,839,1,839,6.73221070646721
"4362",125904,18,"16-25",20.6,0,2,"M",1,"Married",0,6,"6-10",8.02,"D",1,779,1,779,6.65801104587075
"4597",176336,63,"60+",65.1,43,2,"F",0,"Single",1,11,"11+",12.97,"P",0,18,1,18,2.89037175789616
"6249",160218,47,"26-59",42.4,26,2,"F",0,"Single",1,7,"6-10",8.02,"P",0,460,1,460,6.13122648948314
"11576",101145,47,"26-59",42.4,27,3,"F",0,"Single",1,9,"6-10",8.02,"P",0,389,1,389,5.96357934361845
"8364",186787,20,"16-25",20.6,1,3,"F",0,"Single",1,0,"0-5",2.5,"D",1,1486,1,1200,7.3038432252777
"14320",162707,60,"60+",65.1,43,4,"F",0,"Single",1,12,"11+",12.97,"P",0,199,1,199,5.29330482472449
"1195",183715,61,"60+",65.1,44,1,"M",1,"Single",1,0,"0-5",2.5,"D",1,577,1,577,6.3578422665081
"1938",133147,27,"26-59",42.4,7,1,"F",0,"Single",1,14,"11+",12.97,"P",0,345,1,345,5.84354441703136
"14084",188399,68,"60+",65.1,48,4,"F",0,"Single",1,8,"6-10",8.02,"P",0,307,1,307,5.7268477475872
"7099",114595,21,"16-25",20.6,3,2,"M",1,"Married",0,8,"6-10",8.02,"D",1,714,1,714,6.57088296233958
"15114",171925,63,"60+",65.1,43,4,"M",1,"Married",0,14,"11+",12.97,"P",0,109,1,109,4.69134788222914
"35",184955,68,"60+",65.1,47,1,"F",0,"Married",0,7,"6-10",8.02,"P",0,120,1,120,4.78749174278205
"7987",156637,35,"26-59",42.4,16,3,"M",1,"Single",1,6,"6-10",8.02,"P",0,474,1,474,6.16120732169508
"8342",121938,41,"26-59",42.4,20,3,"F",0,"Married",0,4,"0-5",2.5,"P",0,356,1,356,5.87493073085203
"3635",150981,59,"26-59",42.4,38,2,"M",1,"Married",0,8,"6-10",8.02,"P",0,396,1,396,5.98141421125448
"4444",139225,63,"60+",65.1,43,2,"F",0,"Married",0,8,"6-10",8.02,"P",0,118,1,118,4.77068462446567
"4992",117230,24,"16-25",20.6,7,2,"F",0,"Married",0,11,"11+",12.97,"P",0,288,1,288,5.66296048013595
"7701",163137,57,"26-59",42.4,38,3,"F",0,"Married",0,12,"11+",12.97,"P",0,133,1,133,4.89034912822175
"1821",171326,40,"26-59",42.4,19,1,"F",0,"Single",1,13,"11+",12.97,"P",0,181,1,181,5.19849703126583
"8619",196064,21,"16-25",20.6,2,3,"F",0,"Single",1,13,"11+",12.97,"D",1,526,1,526,6.26530121273771
"1779",121712,66,"60+",65.1,46,1,"M",1,"Married",0,6,"6-10",8.02,"P",0,294,1,294,5.68357976733868
"8749",176589,33,"26-59",42.4,13,3,"M",1,"Single",1,7,"6-10",8.02,"D",1,514,1,514,6.24222326545517
